1,2,3,4,5,6
0.918826962,1.037596263,3.040883194,1.243884299,4.28125787,7.157309527
0.070292573,0.465204679,3.092214223,1.825876921,4.784667818,7.038636095
0.608546347,0.221001629,3.055287841,2.09479841,5.114326485,7.455306026
0.87373904,0.823005778,3.184029342,1.898834324,5.497914145,8.030153257
0.524247669,0.274228243,3.321468823,1.729296009,5.171323108,8.344905772
0.705713632,0.392579199,2.945483553,2.061061064,5.049952854,8.137989086
0.770884765,0.442679734,3.327001816,1.936394832,5.381087941,8.05073413
0.550238145,1.048539591,3.186652771,1.388978202,5.262078381,7.86174136
0.826537816,0.663312474,3.705563783,1.840762949,5.65255547,7.909772571
0.27078949,1.119116832,3.671789629,1.820348968,5.961400216,7.927431265
0.777267925,0.757783585,4.088265446,2.411092061,6.0891949,8.201294312
0.49802125,0.523025822,3.795610739,2.927327294,6.937508592,8.391427466
0.603320573,0.890689257,3.593536736,1.911691697,6.004910919,8.779592784
0.28684882,1.031355331,3.725798465,2.330290561,6.500357565,9.804333169
0.039260112,1.353174703,4.078751856,2.072760751,5.812361885,9.198817215
0.060835586,0.441906278,4.222252055,2.654112273,6.652347644,9.350974912
0.218976516,0.797836383,3.938679587,2.57151976,6.442274534,9.416755111
0.836118518,0.411975319,3.825419958,1.906422746,5.87619961,10.15124687
0.575853104,1.220359399,3.394256313,2.267230453,6.260853809,9.596461692
0.216213694,0.583351703,3.611802256,2.486563297,6.5052591,9.787875755
0.439388565,0.523456934,4.03394969,2.991050016,7.427199599,10.02486363
0.34959594,1.455063738,4.008192454,1.84318725,6.916569895,10.17689779
0.109527368,1.143458849,4.826617893,1.794439947,6.407469927,10.3955376
0.769728052,1.229413339,5.184516135,2.910127516,6.733742822,10.73776173
0.443796914,1.485119125,5.333439922,2.279779172,6.880007654,10.07645788
0.860842898,0.630019676,5.813080244,2.883169916,7.513936503,10.37742241
0.137607422,1.233804718,5.431293538,3.083330297,7.852268413,10.04376634
0.00051893,0.819937585,5.733272279,1.682246561,7.059186911,10.56130664
0.294786831,1.274132389,4.832139978,2.544250554,7.178453055,10.85933908
0.418516441,1.222554305,4.898759388,1.918546622,6.369843311,10.38746393
0.349123679,0.856202309,4.876402837,2.859596832,6.523970818,10.43295175
0.609415768,0.632719139,4.934971601,2.595579363,6.613027588,10.548238
0.549201282,1.195779184,4.080535363,1.741168027,6.071711527,9.974103334
0.045382295,1.414564926,4.138829582,1.678507418,5.579633834,10.16402054
0.395988541,1.011829375,4.749035968,2.921506985,6.970463107,10.17860813
0.043429719,1.598733819,5.226369379,2.952707118,6.947078813,9.978150818
0.283276738,1.617083991,5.995908004,1.892445547,6.596790819,10.18331593
0.934784207,1.223761537,6.313406287,2.765219315,7.310020492,10.90104637
0.608704998,0.842001347,6.255183905,2.502552986,7.612395775,10.38349056
0.1246143,0.744817478,5.656979592,2.263450525,6.835349688,11.20552363
0.911302712,1.28181148,5.449259104,2.356968834,6.957306699,11.50304531
0.266847459,1.468595206,5.393604845,2.092984638,6.240712492,10.96168784
0.62417126,0.718096594,5.833189975,2.234366599,6.111148663,11.18877892
0.913845178,1.310376405,5.496668187,2.556772226,6.364263656,10.1583617
0.579457334,1.523600619,5.36964015,1.141045051,5.433268193,10.12000103
0.196217955,1.188009702,5.42176613,2.237391017,5.402059727,9.651545455
0.635465798,0.901056174,5.686427845,1.84263842,5.645394105,9.044072862
0.138226232,1.157410244,5.52836976,2.113132752,5.531640856,9.193296002
0.469757015,0.910198101,5.544026472,1.384588617,4.718931443,8.979278853
0.558900067,1.187180727,5.440898406,1.78188468,4.562776952,8.945043997
0.305999909,0.890799281,5.623856858,1.713281191,4.613447187,8.591527049
0.093906481,1.49592717,5.443666761,1.477860951,4.467891647,8.355883566
0.596867211,1.544370251,5.439405196,1.638540241,4.962690266,8.20801712
0.358391026,1.042867117,6.107009901,1.731362212,4.750649785,7.677504284
0.853147811,1.128999251,5.402748959,2.036589616,4.954962652,7.938990202
0.360920818,1.2167237,5.462616858,1.278675364,4.328556008,7.906638722
0.063385645,0.952351969,5.771920854,1.098617938,3.635608201,8.40425767
0.9675284,1.344918995,5.322110762,1.723942873,3.97503675,7.300921285
